[2026-02-15 20:00:15] local.INFO: Started Upload Files To Aws Command  
[2026-02-15 20:00:30] local.INFO: Site name :{"site_id":201,"site_url":"raisoni.seqrdoc.com","file_uploaded_date_time":"2025-03-01 14:48:39"}  
[2026-02-15 20:00:30] local.INFO: Instance found :raisoni  
[2026-02-15 20:00:31] local.INFO: Records found  
[2026-02-15 20:00:35] local.INFO: Site name :{"site_id":208,"site_url":"vbit.seqrdoc.com","file_uploaded_date_time":"2023-03-21 15:48:36"}  
[2026-02-15 20:00:35] local.INFO: Instance found :vbit  
[2026-02-15 20:00:35] local.INFO: Records found  
[2026-02-15 20:00:42] local.INFO: Site name :{"site_id":209,"site_url":"ghrietn.seqrdoc.com","file_uploaded_date_time":"2026-01-12 15:08:22"}  
[2026-02-15 20:00:42] local.INFO: Instance found :ghrietn  
[2026-02-15 20:00:42] local.INFO: Records found  
[2026-02-15 20:00:45] local.INFO: Site name :{"site_id":248,"site_url":"tpsdi.seqrdoc.com","file_uploaded_date_time":"2025-03-04 20:39:07"}  
[2026-02-15 20:00:45] local.INFO: Instance found :tpsdi  
[2026-02-15 20:00:47] local.INFO: Records found  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115566TN.pdf  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115567TN.pdf  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115568TN.pdf  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115569TN.pdf  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115570TN.pdf  
[2026-02-15 20:00:53] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115571TN.pdf  
[2026-02-15 20:00:54] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115572TN.pdf  
[2026-02-15 20:00:54] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115573TN.pdf  
[2026-02-15 20:00:54] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115574TN.pdf  
[2026-02-15 20:00:54] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115575TN.pdf  
[2026-02-15 20:00:54] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115576TN.pdf  
[2026-02-15 20:00:55] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115577TN.pdf  
[2026-02-15 20:00:55] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115578TN.pdf  
[2026-02-15 20:00:55] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115579TN.pdf  
[2026-02-15 20:00:55] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115580TN.pdf  
[2026-02-15 20:00:55] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115581TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115582TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115583TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115584TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115528TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115529TN.pdf  
[2026-02-15 20:00:56] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115530TN.pdf  
[2026-02-15 20:00:57] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01094.pdf  
[2026-02-15 20:00:57] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01095.pdf  
[2026-02-15 20:00:57] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01096.pdf  
[2026-02-15 20:00:58] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01097.pdf  
[2026-02-15 20:00:58] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115558TN.pdf  
[2026-02-15 20:00:58] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115559TN.pdf  
[2026-02-15 20:00:59] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01098.pdf  
[2026-02-15 20:00:59] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115560TN.pdf  
[2026-02-15 20:00:59] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01099.pdf  
[2026-02-15 20:01:00] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01100.pdf  
[2026-02-15 20:01:00] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01101.pdf  
[2026-02-15 20:01:00] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01102.pdf  
[2026-02-15 20:01:01] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01103.pdf  
[2026-02-15 20:01:01] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01104.pdf  
[2026-02-15 20:01:01] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01105.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01106.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01107.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01108.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115585TN.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115586TN.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01109.pdf  
[2026-02-15 20:01:02] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115587TN.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01110.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115588TN.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115589TN.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01111.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115590TN.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115591TN.pdf  
[2026-02-15 20:01:04] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01112.pdf  
[2026-02-15 20:01:04] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115592TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01113.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115593TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115594TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01114.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115595TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115596TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01115.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115597TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01116.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115598TN.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115599TN.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01117.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115600TN.pdf  
[2026-02-15 20:01:08] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01118.pdf  
[2026-02-15 20:01:08] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01119.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01120.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01121.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115601TN.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115602TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115603TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115604TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/21002189PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003536PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003535PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004697PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000629PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23005786PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003534PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003532PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025744.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000587PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003531PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004695PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025745.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003528PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004696PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003527PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025746.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24002952PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000467PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003526PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025747.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24005968PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24005971PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003524PA.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025748.pdf  
